# Contract Training Data
# Format: INPUT_TEXT|CATEGORY|EXPECTED_RESPONSE_TYPE

show me contract 123456|CONTRACT_LOOKUP|CONTRACT_DETAILS
what is the expiration date for contract 123456|CONTRACT_DATES|CONTRACT_DATES
when does contract 123456 expire|CONTRACT_DATES|CONTRACT_DATES
display contract information for 123456|CONTRACT_LOOKUP|CONTRACT_DETAILS
get contract details for agreement 123456|CONTRACT_LOOKUP|CONTRACT_DETAILS
what are the terms for contract 123456|CONTRACT_TERMS|CONTRACT_TERMS
show contract pricing for 123456|CONTRACT_PRICING|CONTRACT_PRICING
how much does contract 123456 cost|CONTRACT_PRICING|CONTRACT_PRICING
what is the price for contract 123456|CONTRACT_PRICING|CONTRACT_PRICING
contract 123456 effective date|CONTRACT_DATES|CONTRACT_DATES
renewal date for contract 123456|CONTRACT_DATES|CONTRACT_DATES
contract 123456 customer information|CONTRACT_CUSTOMER|CONTRACT_CUSTOMER
who is the customer for contract 123456|CONTRACT_CUSTOMER|CONTRACT_CUSTOMER
contract 123456 account manager|CONTRACT_CUSTOMER|CONTRACT_CUSTOMER
contract status for 123456|CONTRACT_STATUS|CONTRACT_STATUS
is contract 123456 active|CONTRACT_STATUS|CONTRACT_STATUS
contract 123456 payment terms|CONTRACT_PAYMENT|CONTRACT_PAYMENT
payment schedule for contract 123456|CONTRACT_PAYMENT|CONTRACT_PAYMENT
contract 123456 discount information|CONTRACT_PRICING|CONTRACT_PRICING
early payment discount for contract 123456|CONTRACT_PRICING|CONTRACT_PRICING
contract 123456 penalty information|CONTRACT_PENALTY|CONTRACT_PENALTY
late payment penalty for contract 123456|CONTRACT_PENALTY|CONTRACT_PENALTY
contract 123456 renewal options|CONTRACT_RENEWAL|CONTRACT_RENEWAL
auto renewal for contract 123456|CONTRACT_RENEWAL|CONTRACT_RENEWAL
contract 123456 termination clause|CONTRACT_TERMINATION|CONTRACT_TERMINATION
how to terminate contract 123456|CONTRACT_TERMINATION|CONTRACT_TERMINATION
contract 123456 modification history|CONTRACT_HISTORY|CONTRACT_HISTORY
who modified contract 123456|CONTRACT_HISTORY|CONTRACT_HISTORY
contract 123456 approval workflow|CONTRACT_APPROVAL|CONTRACT_APPROVAL
